Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	SE_A10009_001	SE_A10009_002	SE_A10009_003	SE_A10009_004	SE_A10009_005	SE_A10009_006	SE_A10009_007	SE_A10009_008	SE_A10009_009	SE_A10009_010	SE_A10009_011	SE_A10009_012	SE_A10009_013	SE_A10009_014	SE_A10009_015	SE_A10009_016	SE_A10009_017	SE_A10009_018	SE_A10009_019	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A14006_001
"0403150"	"Fort Huachuca Accommodation District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009315"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03150"	""	""	""	""	""	""	"97000US0403150"	"Fort Huachuca Accommodation District"	""	""	""	5563	629	380	259	59	1902	1200	980	146	0	2	6	0	5563	3824	1061	126	141	37	76	298	954	702	702	666	36	6	30	0	0	0	252	234	232	2	0	2	18	0	18	2334	17	1299	1018	83167
"0403200"	"Fort Thomas Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009316"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03200"	""	""	""	""	""	""	"97000US0403200"	"Fort Thomas Unified District"	""	""	""	1973	172	165	77	77	147	248	345	225	241	141	112	23	1973	474	0	1432	0	0	0	67	653	295	295	187	108	18	90	0	0	0	358	167	78	89	11	78	191	101	90	1335	274	987	74	44191
"0403290"	"Ganado Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009317"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03290"	""	""	""	""	""	""	"97000US0403290"	"Ganado Unified District"	""	""	""	7713	439	590	723	462	720	1058	831	987	908	555	300	140	7713	90	21	7435	42	10	23	92	2064	725	725	277	448	63	385	0	0	0	1339	707	317	390	129	261	632	407	225	4779	1111	3234	434	23485
"0403310"	"Gila Bend Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009318"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03310"	""	""	""	""	""	""	"97000US0403310"	"Gila Bend Unified District"	""	""	""	2357	139	185	193	130	178	345	304	325	310	169	67	12	2357	1248	68	367	0	9	376	289	755	267	267	162	105	40	65	0	0	0	488	241	171	70	24	46	247	167	80	1532	428	934	170	40417
"0403400"	"Gilbert Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009319"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03400"	""	""	""	""	""	""	"97000US0403400"	"Gilbert Unified District"	""	""	""	198837	13459	13684	15886	9366	17848	26126	26796	27585	22741	14290	7857	3199	198837	164353	6701	1650	8208	248	5671	12006	68167	25675	25377	18959	6418	1924	4494	298	213	85	42492	24854	20844	4010	1370	2640	17638	7690	9948	128594	5549	70623	52422	87951
"0403500"	"Globe Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009320"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03500"	""	""	""	""	""	""	"97000US0403500"	"Globe Unified District"	""	""	""	10467	527	569	482	324	716	1246	1306	1299	1332	1658	779	229	10467	8678	85	230	25	0	513	936	4199	1137	1137	762	375	127	248	0	0	0	3062	1693	1401	292	125	167	1369	710	659	7849	910	5339	1600	58587
"0403550"	"Grand Canyon Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009321"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03550"	""	""	""	""	""	""	"97000US0403550"	"Grand Canyon Unified District"	""	""	""	2316	222	23	0	34	287	438	200	382	614	112	4	0	2316	1305	80	774	25	0	55	77	707	115	115	20	95	0	95	0	0	0	592	98	98	0	0	0	494	269	225	1750	43	1463	244	54141
"0403730"	"Hayden-Winkelman Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009322"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03730"	""	""	""	""	""	""	"97000US0403730"	"Hayden-Winkelman Unified District"	""	""	""	1178	39	79	65	59	105	79	126	163	221	123	89	30	1178	865	0	5	4	0	115	189	440	135	135	80	55	13	42	0	0	0	305	128	84	44	3	41	177	115	62	831	187	579	65	38488
"0403780"	"Higley Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009323"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03780"	""	""	""	""	""	""	"97000US0403780"	"Higley Unified District"	""	""	""	85628	6821	8177	8046	4602	8226	10886	13130	11449	6623	5092	1899	677	85628	68429	3928	798	5004	260	2420	4789	25791	12890	12805	9902	2903	780	2123	85	48	37	12901	7519	6393	1126	421	705	5382	2434	2948	49756	1473	25789	22494	100587
"0403820"	"Holbrook Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009324"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03820"	""	""	""	""	""	""	"97000US0403820"	"Holbrook Unified District"	""	""	""	9947	587	626	1099	464	787	1141	1434	1201	1164	844	483	117	9947	3090	387	5451	36	21	384	578	3167	1209	1209	602	607	135	472	0	0	0	1958	988	595	393	104	289	970	538	432	6384	1346	4283	755	35948
"0403870"	"Humboldt Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009325"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03870"	""	""	""	""	""	""	"97000US0403870"	"Humboldt Unified District"	""	""	""	58461	2496	3749	3320	2023	3434	7011	5169	6645	8180	9318	5093	2023	58461	52358	418	476	795	0	1821	2593	24093	5975	5891	3877	2014	724	1290	84	84	0	18118	9986	8458	1528	467	1061	8132	3671	4461	43439	4455	30135	8849	55172
"0403950"	"Indian Oasis-Baboquivari Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009326"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03950"	""	""	""	""	""	""	"97000US0403950"	"Indian Oasis-Baboquivari Unified District"	""	""	""	7468	552	776	613	519	950	854	857	756	736	580	231	44	7468	342	6	6974	0	15	39	92	1841	859	853	206	647	113	534	6	6	0	982	550	169	381	129	252	432	245	187	4058	914	2947	197	28849
"0403990"	"J. O. Combs Unified School District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009327"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03990"	""	""	""	""	""	""	"97000US0403990"	"J. O. Combs Unified School District"	""	""	""	50467	3430	4553	4864	3121	3895	5489	7677	5151	5160	5501	1308	318	50467	44119	1565	1102	821	8	1408	1444	15676	6489	6403	5129	1274	340	934	86	59	27	9187	6364	5779	585	225	360	2823	1288	1535	30604	1619	20541	8444	76972
"0404010"	"Joseph City Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009328"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"04010"	""	""	""	""	""	""	"97000US0404010"	"Joseph City Unified District"	""	""	""	2266	218	191	253	212	215	319	265	150	230	141	42	30	2266	1571	1	425	0	0	13	256	650	314	314	200	114	42	72	0	0	0	336	150	127	23	6	17	186	74	112	1177	125	810	242	64000
